"","atopid","polity","s_wt_glo","maxmajpow","consultatop","nagatop","neutatop","defenseatop","offenseatop","secrecy","conditio","intcom","base","contrib","ecaid","milaid","organ1","specthrt","macowe","maconc","maconp","nmacowe","nmaconc","nmaconp","nmaroir","condother","speclength","condlength","renounceok","renounceproh","renouncecond","milcontact","commondef","lallycount","lsumcap","ldistance","compel","prob","deter","deterministic","unconditional","PotMilCapacity.score","Depth.score","Scope.score","indx"
"259",3395,2.75,0.635,1,1,0,0,1,0,0,1,1,3,0,0,1,3,0,0.75,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.386,-1.269,7.492,0,1,1,0,0,0.847,2.347,-0.219,255
"260",3400,7.875,0.483,0,1,0,0,1,0,0,0,1,3,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.099,-2.839,5.707,0,0,1,1,0,-0.902,3.703,-0.158,256
"261",3405,8.455,0.601,1,1,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.386,-0.803,6.933,0,0,1,1,1,0.893,0.391,0.712,257
"262",3410,3,0.27,1,0,0,0,1,0,0,1,1,3,1,0,4,3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.693,-2.378,8.126,0,1,1,0,0,0.777,4.097,-0.216,258
"263",3423,9,0.196,1,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693,-2.022,7.992,0,0,1,1,0,0.822,0.717,-0.157,259
"264",3430,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.099,-5.268,6.334,0,0,1,1,0,-1.241,-0.005,-0.141,260
"265",3435,3.5,0.214,1,1,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.693,-2.815,7.767,0,0,0,0,0,0.743,1.718,-0.585,261
"266",3440,0,0.684,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693,-1.02,0,0,0,1,1,0,0.818,-0.482,-0.073,262
"267",3445,0,0.642,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693,-1.518,0,0,0,1,1,0,0.764,-0.338,-0.084,263
"268",3455,1.174,0.971,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.639,-2.881,7.309,0,0,1,1,0,-0.93,0.01,-0.162,264
